sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
vBt13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt13_S67_L001_R1_001.fastq.gz	forward	vBt13	its33	Bt	healthy	Net	NMax	vidalblanc	1	3	9/10/2022	6/14/2023	N711	S505	GP22_GSR	1	462.4	462.4	4.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt13_S91_L001_R1_001.fastq.gz	forward	vbt13	its36	bt	healthy	NNet	NMax	vidalblanc	1	3	9/10/2022	6/14/2023	N715	S505	GP22_GSR	1	675.3	441	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt21_S30_L001_R1_001.fastq.gz	forward	vbt21	its64	bt	healthy	NNet	NMax	vidalblanc	2	1	9/16/2022	6/14/2023	N704	S508	GP22_GSR	1	600.6	441	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT21_S53_L001_R1_001.fastq.gz	forward	vBT21	its55	BT	healthy	Net	MMax	vidalblanc	2	1	9/16/2022	6/14/2023	N707	S507	GP22_GSR	1	595.2	595.2	3.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt21_S6_L001_R1_001.fastq.gz	forward	vBt21	its61	Bt	healthy	Net	NMax	vidalblanc	2	1	9/16/2022	6/14/2023	N701	S508	GP22_GSR	1	727.4	472	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT21_S77_L001_R1_001.fastq.gz	forward	vbT21	its58	bT	healthy	NNet	MMax	vidalblanc	2	1	9/16/2022	6/14/2023	N712	S507	GP22_GSR	1	495.2	495.2	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt22_S14_L001_R1_001.fastq.gz	forward	vBt22	its62	Bt	healthy	Net	NMax	vidalblanc	2	2	9/16/2022	6/14/2023	N702	S508	GP22_GSR	1	632.9	427	4.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt22_S38_L001_R1_001.fastq.gz	forward	vbt22	its65	bt	healthy	NNet	NMax	vidalblanc	2	2	9/16/2022	6/14/2023	N705	S508	GP22_GSR	1	548.5	548.5	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT22_S61_L001_R1_001.fastq.gz	forward	vBT22	its56	BT	healthy	Net	MMax	vidalblanc	2	2	9/16/2022	6/14/2023	N710	S507	GP22_GSR	1	473.4	473.4	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT22_S85_L001_R1_001.fastq.gz	forward	vbT22	its59	bT	healthy	NNet	MMax	vidalblanc	2	2	9/16/2022	6/14/2023	N714	S507	GP22_GSR	1	554.5	554.5	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt23_S22_L001_R1_001.fastq.gz	forward	vBt23	its63	Bt	healthy	Net	NMax	vidalblanc	2	3	9/16/2022	6/14/2023	N703	S508	GP22_GSR	1	609.7	539	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt23_S46_L001_R1_001.fastq.gz	forward	vbt23	its66	bt	healthy	NNet	NMax	vidalblanc	2	3	9/16/2022	6/14/2023	N706	S508	GP22_GSR	1	472.1	472.1	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
