# Constructed from biom file
#OTU ID	gsr01	gsr07	gsr09	mbT33	vBT32	mbt33	mbT31	gsr16	gsr04	gsr08	vbT33	mbT32	vbt31	gsr17	vbT31	vBt33	gsr11	gsr06	gsr03	cBT31	gsr10	vbt33	gsr14	vbt32	gsr12	vBt31	gsr13	vbT32	ctrl	gsr15	mbt31	gsr05	gsr02	mbt32	cbt33
36a2bfc1562bafa9940affa2da708bc0	3.0	54.0	10.0	54.0	0.0	41.0	0.0	0.0	35.0	2.0	6.0	49.0	109.0	111.0	77.0	88.0	0.0	0.0	53.0	35.0	0.0	0.0	112.0	2.0	34.0	86.0	111.0	0.0	0.0	2.0	27.0	45.0	0.0	0.0	0.0
5ca677024541575325b7d0c66fc5d287	3.0	0.0	22.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	2.0	0.0	23.0	0.0	0.0	2.0	0.0	0.0	105.0	36.0	0.0
01522ed38a80127e2740033f8a5514e0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	19662.0	49.0	2227.0	0.0	0.0	0.0	597.0	0.0	0.0	0.0	696.0	0.0	0.0	8139.0	0.0	106.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	1982.0	0.0	0.0
767eb5dcfdda4c9f43e8c4f9d06ff9ea	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0
ac57cd559177d9c5820f050e8d43c4b1	3.0	0.0	208.0	0.0	0.0	0.0	0.0	21974.0	217.0	4612.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0	1553.0	5.0	0.0	864.0	0.0	0.0	0.0	143.0	0.0	48.0	0.0	5.0	0.0	0.0	0.0	28834.0	0.0	0.0
08b9fc338ef3350fc60b4d98db703fc5	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0
b3274c4d9495b1ee7b7af78a64406dcf	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0
fceaab840c53a185678b43d55226a999	2.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	984.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	844.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636.0	0.0	0.0
87bc9fb14f2cf9c8a8a14c5a9e52f741	2.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	5.0	12.0	0.0
43823c40f98bd53f7cf732fabb9abead	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
243904b02c4b8131b9a57559bab0ac64	2.0	0.0	7.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	55.0	23.0	0.0
8ee080adcc13f61f8a8c5d60a41dd17b	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	21.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ea9c9998a84b1398b3410ba268ae816	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0
eab1f28ce1677f6c1463e0a91487e44d	2.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138381c43b72307438b4779181ff5ef5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
7ef98d2f32a992f620f77dcdec703386	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
9e4aab4e632866f457b10891ed2b5459	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2ee0d593c26b5b9dcf5210acc1b5e491	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0
d2687e29b7dfc21c8091c8dcc19eb9c1	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
24eb7e91546dcad800afe88dca999345	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
6e2ebbbe4b1c73232f91575202cbfae0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c73d8391d5f631601a16e2a4d2e1c362	1.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3cbb02a7e72a786aabe0aa96d9a5f9dd	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
56186ca920d2787557225f7c66d3ac9d	1.0	0.0	21.0	1.0	0.0	2.0	0.0	16.0	65.0	134.0	0.0	0.0	0.0	5.0	20.0	0.0	1.0	33.0	0.0	0.0	14.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	87.0	70.0	0.0
e77c833db7389b649ffec1d7e69579ae	1.0	4.0	1410.0	0.0	0.0	0.0	0.0	829.0	670.0	93.0	0.0	0.0	0.0	457.0	0.0	0.0	682.0	1024.0	5.0	0.0	10174.0	0.0	0.0	0.0	325.0	0.0	1765.0	0.0	10.0	113.0	0.0	0.0	1419.0	3.0	0.0
7d5c0b3204def973b4e27cc7b03e6bde	1.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	5.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0
24eaf33ac53de90de0b5bff0d5e18c80	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0
7e558acfc148d9cde795fda535ba9c37	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
ea25bb0c1e06aafca49f38da95aa1aeb	0.0	66.0	48.0	9.0	19.0	0.0	0.0	97.0	98.0	70.0	22.0	44.0	53.0	147.0	60.0	66.0	52.0	108.0	139.0	0.0	0.0	0.0	0.0	0.0	193.0	164.0	32.0	7.0	0.0	0.0	34.0	247.0	78.0	28.0	0.0
20212dc3767785683c41b0ea8fa0db2e	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b10a307a82ef0c1d59f40e858147a743	0.0	38.0	20.0	0.0	9.0	0.0	0.0	52.0	71.0	30.0	20.0	0.0	43.0	61.0	52.0	32.0	18.0	52.0	99.0	0.0	0.0	0.0	0.0	0.0	113.0	128.0	5.0	9.0	0.0	0.0	47.0	200.0	0.0	16.0	0.0
76e08292b87dfee5a3205f28593858c4	0.0	26.0	0.0	15.0	0.0	176.0	45.0	30.0	0.0	0.0	0.0	69.0	0.0	0.0	228.0	69.0	0.0	53.0	210.0	29.0	44.0	0.0	117.0	2.0	52.0	0.0	0.0	0.0	0.0	19.0	71.0	164.0	0.0	218.0	13.0
20eca4ed31c912ec03e587acc6f7790f	0.0	5.0	80.0	0.0	0.0	0.0	56.0	0.0	104.0	0.0	33.0	0.0	89.0	0.0	176.0	607.0	0.0	0.0	71.0	12.0	39.0	0.0	33.0	0.0	90.0	337.0	22.0	24.0	0.0	0.0	23.0	0.0	55.0	0.0	6.0
24279ec302ef5e77b9dda01fa4f464f7	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	608.0	0.0	0.0	0.0	1184.0	0.0	3.0	0.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3064.0	0.0	0.0
6130cce60c95ec6779345af1228cfc29	0.0	3.0	46.0	0.0	0.0	0.0	22.0	700.0	127.0	6226.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	96.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2614.0	0.0	0.0
118f8843884724780c657eea30bb2dd1	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
013cf975e1c5a665384b6dc5be46578a	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	6.0	0.0
503851f992ba0551e8f9b5681187fb84	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	2.0	9.0	0.0	0.0	0.0
7695ff0e5d99f0c99bf54d198635a70c	0.0	3.0	0.0	0.0	0.0	0.0	0.0	498.0	0.0	598.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198.0	0.0	0.0	1587.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1322.0	0.0	0.0
